Nome,URL,Caminho
Acaiaca,"https://www.google.com/maps/@-20.363334,-43.15319,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Alvinópolis,"https://www.google.com/maps/@-20.106577,-43.056933,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Alvorada de Minas,"https://www.google.com/maps/@-18.73137,-43.370948,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Antônio Pereira,"https://www.google.com/maps/@-20.309271,-43.480677,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Barão de Cocais,"https://www.google.com/maps/@-19.940964,-43.481284,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Barra Longa,"https://www.google.com/maps/@-20.28212,-43.041042,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Bela Vista de Minas,"https://www.google.com/maps/@-19.826772,-43.105591,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Bento Rodrigues,"https://www.google.com/maps/@-20.236776,-43.421324,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Bom Jesus do Amparo,"https://www.google.com/maps/@-19.711989,-43.492481,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Brumal,"https://www.google.com/maps/@-19.989588,-43.455874,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Camargos,"https://www.google.com/maps/@-20.271268,-43.410764,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Carmésia,"https://www.google.com/maps/@-19.086382,-43.140987,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Catas Altas,"https://www.google.com/maps/@-20.074252,-43.441833,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Cocais,"https://www.google.com/maps/@-19.864932,-43.456799,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Conceição do Mato Dentro,"https://www.google.com/maps/@-19.034888,-43.422488,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Congonhas do Norte,"https://www.google.com/maps/@-18.813336,-43.682544,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Corregos,"https://www.google.com/maps/@-18.883263,-43.506181,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Couto de Magalhães de Minas,"https://www.google.com/maps/@-18.072631,-43.471617,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Datas,"https://www.google.com/maps/@-18.450371,-43.668474,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Diamantina,"https://www.google.com/maps/@-18.24134,-43.619841,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
Dom Joaquim,"https://www.google.com/maps/@-18.967124,-43.25472,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Diamantes
