Nome,URL,Caminho
Alfredo Vasconcelos,"https://www.google.com/maps/@-21.150302,-43.779171,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Alto Rio Doce,"https://www.google.com/maps/@-21.022123,-43.42844,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Antônio Carlos,"https://www.google.com/maps/@-21.317318,-43.751664,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Areal,"https://www.google.com/maps/@-22.231162,-43.101246,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Barbacena,"https://www.google.com/maps/@-21.219699,-43.804108,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Belmiro Braga,"https://www.google.com/maps/@-21.949153,-43.415436,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Bias Fortes,"https://www.google.com/maps/@-21.60556,-43.758481,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Capela Nova,"https://www.google.com/maps/@-20.923596,-43.627112,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Caranaíba,"https://www.google.com/maps/@-20.8,-43.74213,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Carandaí,"https://www.google.com/maps/@-20.950891,-43.802786,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Catas Altas da Noruega,"https://www.google.com/maps/@-20.690203,-43.507849,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Chácara,"https://www.google.com/maps/@-21.671906,-43.221553,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Chapada,"https://www.google.com/maps/@-20.476979,-43.559167,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Chiador,"https://www.google.com/maps/@-22.00383,-43.061808,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Cipotânea,"https://www.google.com/maps/@-20.904845,-43.374152,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Comendador Levy Gasparian,"https://www.google.com/maps/@-22.033891,-43.218736,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Conceição de Ibitipoca,"https://www.google.com/maps/@-21.718882,-43.925248,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Conselheiro Lafaiete,"https://www.google.com/maps/@-20.650009,-43.810386,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Coronel Pacheco,"https://www.google.com/maps/@-21.589429,-43.297503,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Cristiano Otoni,"https://www.google.com/maps/@-20.829206,-43.842873,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Desterro do Melo,"https://www.google.com/maps/@-21.147582,-43.521368,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Diogo de Vasconcelos,"https://www.google.com/maps/@-20.485864,-43.198709,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Ewbank da Câmara,"https://www.google.com/maps/@-21.550588,-43.517888,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Ibertioga,"https://www.google.com/maps/@-21.431794,-43.964802,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Inconfidencia (Sebollas),"https://www.google.com/maps/@-22.253146,-43.193373,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Itaipava,"https://www.google.com/maps/@-22.382848,-43.140913,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Itatiaia,"https://www.google.com/maps/@-20.490418,-43.571773,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Itaverava,"https://www.google.com/maps/@-20.676529,-43.618712,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Juiz de Fora,"https://www.google.com/maps/@-21.728885,-43.452561,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Lamim,"https://www.google.com/maps/@-20.790473,-43.481893,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Lavras Novas,"https://www.google.com/maps/@-20.472972,-43.521261,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Lima Duarte,"https://www.google.com/maps/@-21.839188,-43.792667,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Magé,"https://www.google.com/maps/@-22.6566,-43.038876,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Matias Barbosa,"https://www.google.com/maps/@-21.838311,-43.334398,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Mercês,"https://www.google.com/maps/@-21.192737,-43.362665,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Monte Serrat,"https://www.google.com/maps/@-22.018226,-43.309618,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Olaria,"https://www.google.com/maps/@-21.860019,-43.945828,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Oliveira Fortes,"https://www.google.com/maps/@-21.340544,-43.450306,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Ouro Branco,"https://www.google.com/maps/@-20.515623,-43.699943,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Ouro Preto,"https://www.google.com/maps/@-20.385296,-43.503594,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Paiva,"https://www.google.com/maps/@-21.288099,-43.415755,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Paraíba do Sul,"https://www.google.com/maps/@-22.160467,-43.327416,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Pedro do Rio,"https://www.google.com/maps/@-22.320515,-43.172651,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Pedro Teixeira,"https://www.google.com/maps/@-21.704321,-43.742737,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Pequeri,"https://www.google.com/maps/@-21.836549,-43.120312,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Petrópolis,"https://www.google.com/maps/@-22.48374,-43.252997,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Piau,"https://www.google.com/maps/@-21.50965,-43.380246,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Piranga,"https://www.google.com/maps/@-20.684027,-43.305821,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Porto Estrela,"https://www.google.com/maps/@-22.682121,-43.218021,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Presidente Bernardes,"https://www.google.com/maps/@-20.766395,-43.189306,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Queima Sangue,"https://www.google.com/maps/@-22.189473,-43.254369,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Queluzito,"https://www.google.com/maps/@-20.740378,-43.891888,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Ressaquinha,"https://www.google.com/maps/@-21.062776,-43.771309,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Rio de Janeiro,"https://www.google.com/maps/@-22.906847,-43.172897,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Rio Espera,"https://www.google.com/maps/@-20.856808,-43.482207,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Rio Pomba,"https://www.google.com/maps/@-21.273575,-43.179045,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Santa Bárbara do Tugúrio,"https://www.google.com/maps/@-21.246267,-43.567898,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Santana do Deserto,"https://www.google.com/maps/@-21.951732,-43.183094,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Santana do Garambéu,"https://www.google.com/maps/@-21.601946,-44.116643,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Santana dos Montes,"https://www.google.com/maps/@-20.78561,-43.69371,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Santa Rita de Ibitipoca,"https://www.google.com/maps/@-21.563954,-43.921,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Santos Dumont,"https://www.google.com/maps/@-21.458792,-43.581561,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Secretário,"https://www.google.com/maps/@-22.325727,-43.158304,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Senhora de Oliveira,"https://www.google.com/maps/@-20.793416,-43.342709,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Senhora dos Remédios,"https://www.google.com/maps/@-21.027924,-43.587159,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Simão Pereira,"https://www.google.com/maps/@-21.964323,-43.31694,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
Três Rios,"https://www.google.com/maps/@-22.119663,-43.246982,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Novo
