Nome,URL,Caminho
Acuruí,"https://www.google.com/maps/@-20.209684,-43.723768,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Brumadinho,"https://www.google.com/maps/@-20.145027,-44.197992,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Caeté,"https://www.google.com/maps/@-19.889322,-43.681268,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Cocais,"https://www.google.com/maps/@-19.864932,-43.456799,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Glaura,"https://www.google.com/maps/@-20.287876,-43.654378,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Honório Bicalho,"https://www.google.com/maps/@-20.021381,-43.835607,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Itabirito,"https://www.google.com/maps/@-20.255312,-43.814651,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Morro Vermelho,"https://www.google.com/maps/@-19.956775,-43.703778,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Nova Lima,"https://www.google.com/maps/@-20.034871,-43.976852,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Raposos,"https://www.google.com/maps/@-19.959975,-43.83451,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Rio Acima,"https://www.google.com/maps/@-20.08805,-43.812251,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
Sabará,"https://www.google.com/maps/@-19.891116,-43.811301,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Sabarabuçu
