Nome,URL,Caminho
Aiuruoca,"https://www.google.com/maps/@-21.975063,-44.603611,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Alagoa,"https://www.google.com/maps/@-22.171467,-44.641769,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Alto Maranhão,"https://www.google.com/maps/@-20.563225,-43.857058,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Amarantina,"https://www.google.com/maps/@-20.312255,-43.715459,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Andrelândia,"https://www.google.com/maps/@-21.740164,-44.326672,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Aparecida,"https://www.google.com/maps/@-22.845388,-45.251188,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Arapeí,"https://www.google.com/maps/@-22.671763,-44.447154,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Areias,"https://www.google.com/maps/@-22.581059,-44.696729,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Baependi,"https://www.google.com/maps/@-21.965934,-44.898463,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Bananal,"https://www.google.com/maps/@-22.681494,-44.330618,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Barroso,"https://www.google.com/maps/@-21.184793,-43.990558,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Belo Vale,"https://www.google.com/maps/@-20.412115,-44.030576,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Bichinho,"https://www.google.com/maps/@-21.100874,-44.11785,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Cachoeira do Campo,"https://www.google.com/maps/@-20.361973,-43.64969,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Cachoeira Paulista,"https://www.google.com/maps/@-22.658948,-45.004625,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Cambuquira,"https://www.google.com/maps/@-21.84913,-45.297057,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Campanha,"https://www.google.com/maps/@-21.835981,-45.409997,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Canas,"https://www.google.com/maps/@-22.702252,-45.052603,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Capela do Saco,"https://www.google.com/maps/@-21.341377,-44.551314,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Caquende,"https://www.google.com/maps/@-21.331979,-44.542761,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Carmo de Minas,"https://www.google.com/maps/@-22.121281,-45.132399,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Carrancas,"https://www.google.com/maps/@-21.488333,-44.643586,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Casa Grande,"https://www.google.com/maps/@-20.83953,-44.014557,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Caxambu,"https://www.google.com/maps/@-21.981485,-44.938727,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Conceição da Barra de Minas,"https://www.google.com/maps/@-21.127663,-44.473391,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Conceição do Rio Verde,"https://www.google.com/maps/@-21.880323,-45.08813,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Congonhas,"https://www.google.com/maps/@-20.504172,-43.871792,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Coronel Xavier Chaves,"https://www.google.com/maps/@-21.022985,-44.224798,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Cristina,"https://www.google.com/maps/@-22.213872,-45.275099,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Cruzeiro,"https://www.google.com/maps/@-22.572471,-44.980495,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Cruzília,"https://www.google.com/maps/@-21.840391,-44.809923,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Cunha,"https://www.google.com/maps/@-23.073186,-44.966195,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Delfim Moreira,"https://www.google.com/maps/@-22.5085,-45.280273,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
Desterro de Entre Rios,"https://www.google.com/maps/@-20.635598,-44.414764,14z?hl=en-US&entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoJLDEwMjExNjQwSAFQAw%3D%3D",Velho
